Rank,Journal Name,JIF 2024,JIF Quartile,Areas,Publisher,Country,JIF Rank,5-Year JIF,JCI,ISSN,eISSN,Abbreviated Journal,Total Cites,Total Articles,Citable Items,Cited Half-Life,Citing Half-Life,JIF Without Self-Cites,JCR Year
17,Nature Energy,60.1,Q1,Energy; Materials Science,NATURE PORTFOLIO,United States,2/460,68.9,8.48,2058-7546,2058-7546,NAT ENERGY,55904,214,222,4.8,4.7,59.4,2024
19,Nature Reviews Methods Primers,56.0,Q1,"Biochemistry, Genetics and Molecular Biology; Medicine",NATURE PORTFOLIO,United Kingdom,1/135,66.9,9.39,,2662-8449,NAT REV METHOD PRIME,9349,26,64,2.7,6.5,55.8,2024
7872,JOURNAL OF VACUUM SCIENCE & TECHNOLOGY A,2.1,Q3,Chemical Engineering; Engineering; Materials Science; Physics and Astronomy,A V S AMER INST PHYSICS,United States,15/23,2.7,0.47,0734-2101,1520-8559,J VAC SCI TECHNOL A,11789,323,329,11.4,9.8,1.9,2024
12283,JOURNAL OF VACUUM SCIENCE & TECHNOLOGY B,1.2,Q4,Chemical Engineering; Engineering; Materials Science; Physics and Astronomy,A V S AMER INST PHYSICS,United States,289/366,1.3,0.26,2166-2746,2166-2754,J VAC SCI TECHNOL B,6714,183,185,15.4,9.2,1.1,2024
22,Signal Transduction and Targeted Therapy,52.7,Q1,"Biochemistry, Genetics and Molecular Biology",NATURE PORTFOLIO,United Kingdom,1/319,52.2,5.04,2095-9907,2059-3635,SIGNAL TRANSDUCT TAR,51196,156,245,2.8,6,52.1,2024
23,NATURE REVIEWS GENETICS,52.0,Q1,"Biochemistry, Genetics and Molecular Biology; Medicine",NATURE PORTFOLIO,United Kingdom,1/191,57.1,6.66,1471-0056,1471-0064,NAT REV GENET,42931,0,54,9.1,5.9,51.5,2024
24,Nature Reviews Chemistry,51.7,Q1,Chemical Engineering; Chemistry,NATURE PORTFOLIO,United Kingdom,2/239,49.4,3.28,,2397-3358,NAT REV CHEM,16326,0,48,4.1,6.4,51.4,2024
25,Nature Reviews Gastroenterology & Hepatology,51.0,Q1,Medicine,NATURE PORTFOLIO,United Kingdom,1/147,72.4,8.1,1759-5045,1759-5053,NAT REV GASTRO HEPAT,30358,0,48,5.3,5.9,50.4,2024
26,NATURE MEDICINE,50.0,Q1,"Biochemistry, Genetics and Molecular Biology; Medicine",NATURE PORTFOLIO,United Kingdom,1/195,52.4,11.03,1078-8956,1546-170X,NAT MED,133694,325,343,6.3,5,49.2,2024
27,MMWR Surveillance Summaries,49.8,Q1,Environmental Science; Health Professions; Medicine; Social Sciences,CENTERS DISEASE CONTROL & PREVENTION,United States,2/419,34.1,15.95,1545-8636,1545-8636,MMWR SURVEILL SUMM,3499,3,3,6.1,,49.8,2024
28,NATURE,48.5,Q1,Multidisciplinary,NATURE PORTFOLIO,United Kingdom,2/135,55.0,11.12,0028-0836,1476-4687,NATURE,965275,1361,1393,10,7.2,47.7,2024
29,IEEE Communications Surveys and Tutorials,46.7,Q1,Engineering,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,United States,1/258,42.8,10.2,,1553-877X,IEEE COMMUN SURV TUT,33160,74,74,5.2,5.2,45.6,2024
7030,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,2.3,Q1,Arts and Humanities; Physics and Astronomy,ACOUSTICAL SOC AMER AMER INST PHYSICS,United States,7/35,2.3,0.92,0001-4966,1520-8524,J ACOUST SOC AM,50898,641,645,17.9,11.3,1.9,2024
31,LANCET NEUROLOGY,45.5,Q1,Medicine,ELSEVIER,United Kingdom,1/285,56.2,12.19,1474-4422,1474-4465,LANCET NEUROL,52666,61,79,7.2,4.6,44.6,2024
3784,AMERICAN FAMILY PHYSICIAN,3.5,Q1,Medicine,AMER ACAD FAMILY PHYSICIANS,United States,53/332,7.4,1.63,0002-838X,1532-0650,AM FAM PHYSICIAN,12233,25,29,9.9,6.9,3.4,2024
33,Nature Catalysis,44.6,Q1,"Biochemistry, Genetics and Molecular Biology; Chemical Engineering",NATURE PORTFOLIO,United States,1/185,47.4,5.63,2520-1158,2520-1158,NAT CATAL,32070,156,165,4.1,6.5,44.2,2024
34,CANCER CELL,44.5,Q1,"Biochemistry, Genetics and Molecular Biology; Medicine",CELL PRESS,United States,5/326,47.2,8.11,1535-6108,1878-3686,CANCER CELL,56241,105,112,7,5.8,43.9,2024
35,Nature Reviews Cardiology,44.2,Q1,Medicine,NATURE PORTFOLIO,United Kingdom,1/230,52.9,8.32,1759-5002,1759-5010,NAT REV CARDIOL,22153,4,52,4.9,7,43.7,2024
36,BMJ-British Medical Journal,42.7,Q1,Medicine,BMJ PUBLISHING GROUP,United Kingdom,5/332,76.1,9.96,0959-535X,1756-1833,BMJ-BRIT MED J,173910,132,153,8.6,3.9,40.4,2024
37,CELL,42.5,Q1,"Biochemistry, Genetics and Molecular Biology",CELL PRESS,United States,3/319,48.9,7.99,0092-8674,1097-4172,CELL,310873,357,409,9.3,7.3,41.9,2024
38,JOURNAL OF CLINICAL ONCOLOGY,41.9,Q1,"Biochemistry, Genetics and Molecular Biology; Medicine",LIPPINCOTT WILLIAMS & WILKINS,United States,6/326,37.7,6.68,0732-183X,1527-7755,J CLIN ONCOL,169483,342,365,7.8,5.9,41.1,2024
39,Lancet Diabetes & Endocrinology,41.8,Q1,"Biochemistry, Genetics and Molecular Biology; Medicine",ELSEVIER,United Kingdom,1/191,41.7,8.5,2213-8587,2213-8595,LANCET DIABETES ENDO,22003,56,67,5.1,5.3,41.1,2024
40,NATURE BIOTECHNOLOGY,41.7,Q1,"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Immunology and Microbiology",NATURE PORTFOLIO,United Kingdom,2/177,59.5,8.57,1087-0156,1546-1696,NAT BIOTECHNOL,100474,256,265,6.9,5.8,41.0,2024
41,Nature Electronics,40.9,Q1,Engineering; Materials Science; Physics and Astronomy,NATURE PORTFOLIO,United Kingdom,1/366,42.0,5.8,2520-1131,2520-1131,NAT ELECTRON,20582,146,156,3.8,5.3,40.1,2024
42,Journal of Hematology & Oncology,40.4,Q1,"Biochemistry, Genetics and Molecular Biology; Medicine",BMC,United Kingdom,1/98,34.4,5.04,,1756-8722,J HEMATOL ONCOL,27071,33,79,4.1,4.9,40.0,2024
43,Nature Reviews Endocrinology,40.0,Q1,"Biochemistry, Genetics and Molecular Biology; Medicine",NATURE PORTFOLIO,United Kingdom,2/191,47.0,4.95,1759-5029,1759-5037,NAT REV ENDOCRINOL,23507,3,50,6.2,6.7,39.6,2024
43,PROGRESS IN MATERIALS SCIENCE,40.0,Q1,Materials Science,ELSEVIER,United Kingdom,3/460,44.8,2.42,0079-6425,1873-2208,PROG MATER SCI,36931,0,126,5.8,5.4,39.6,2024
45,Nature Reviews Nephrology,39.8,Q1,Medicine,NATURE PORTFOLIO,United Kingdom,2/133,44.5,7.36,1759-5061,1759-507X,NAT REV NEPHROL,19202,3,48,5.3,6.9,39.3,2024
46,Nature Reviews Physics,39.5,Q1,Physics and Astronomy,NATURE PORTFOLIO,United Kingdom,1/187,53.2,3.03,,2522-5820,NAT REV PHYS,12208,0,48,3.6,6.4,39.2,2024
47,CHEMICAL SOCIETY REVIEWS,39.0,Q1,Chemistry,ROYAL SOC CHEMISTRY,United Kingdom,3/239,50.1,2.95,0306-0012,1460-4744,CHEM SOC REV,183460,0,309,7.4,5.8,38.6,2024
48,CIRCULATION,38.6,Q1,Medicine,LIPPINCOTT WILLIAMS & WILKINS,United States,1/98,35.9,9.01,0009-7322,1524-4539,CIRCULATION,177978,246,310,10.5,6.5,37.7,2024
48,Lancet Gastroenterology & Hepatology,38.6,Q1,Medicine,ELSEVIER,United Kingdom,2/147,34.0,6.9,,2468-1253,LANCET GASTROENTEROL,16102,52,68,3.7,4.9,38.1,2024
50,NATURE MATERIALS,38.5,Q1,Chemistry; Engineering; Materials Science; Physics and Astronomy,NATURE PORTFOLIO,United Kingdom,1/79,46.8,5.99,1476-1122,1476-4660,NAT MATER,115316,271,281,8.3,6.7,38.2,2024
51,Nature Reviews Bioengineering,37.6,Q1,"Biochemistry, Genetics and Molecular Biology; Engineering; Immunology and Microbiology",NATURE PORTFOLIO,United Kingdom,1/124,37.6,3.25,,2731-6092,NAT REV BIOENG,2516,1,72,1.3,5.7,36.8,2024
9720,PEDIATRIC DENTISTRY,1.7,Q2,,AMER ACAD PEDIATRIC DENTISTRY,,84/191,2.2,0.67,0164-1263,1942-5473,PEDIATR DENT,2941,37,42,12.2,6.8,1.5,2024
53,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,37.0,Q1,Chemical Engineering; Energy,ELSEVIER,United Kingdom,1/175,39.3,2.67,0360-1285,1873-216X,PROG ENERG COMBUST,18841,0,27,7.8,7.9,36.8,2024
54,eScience,36.6,Q1,Chemistry; Energy; Materials Science,KEAI PUBLISHING LTD,China,5/460,35.9,5.58,2097-2431,2667-1417,ESCIENCE,5679,40,63,1.8,4.7,35.9,2024
55,Nano-Micro Letters,36.3,Q1,Engineering; Materials Science,SHANGHAI JIAO TONG UNIV PRESS,Netherlands,2/147,30.1,5.04,2311-6706,2150-5551,NANO-MICRO LETT,35542,186,266,2.6,4.2,34.6,2024
55,Electrochemical Energy Reviews,36.3,Q1,Chemical Engineering; Chemistry; Energy; Materials Science,NATURE PORTFOLIO,Germany,2/44,34.1,2.36,2520-8489,2520-8136,ELECTROCHEM ENERGY R,5833,0,34,3.3,5.4,35.7,2024
57,LANCET ONCOLOGY,35.9,Q1,Medicine,ELSEVIER,United Kingdom,8/326,42.0,8.68,1470-2045,1474-5488,LANCET ONCOL,74077,140,168,6.7,4.7,35.3,2024
58,EUROPEAN HEART JOURNAL,35.6,Q1,Medicine,OXFORD UNIV PRESS,United Kingdom,3/230,34.4,8.05,0195-668X,1522-9645,EUR HEART J,90583,264,340,5.7,5.2,32.6,2024
59,Joule,35.4,Q1,Energy,CELL PRESS,United States,3/185,43.7,4,2542-4351,2542-4351,JOULE,44869,146,183,4.4,4.6,34.8,2024
60,Nature Nanotechnology,34.9,Q1,Chemical Engineering; Engineering; Materials Science; Physics and Astronomy,NATURE PORTFOLIO,United Kingdom,8/460,40.4,5,1748-3387,1748-3395,NAT NANOTECHNOL,80966,195,208,7.1,6,34.6,2024
61,Annual Review of Pathology-Mechanisms of Disease,34.5,Q1,Agricultural and Biological Sciences; Medicine,ANNUAL REVIEWS,United States,1/90,39.7,6.8,1553-4006,1553-4014,ANNU REV PATHOL-MECH,9486,0,22,6.7,7.4,34.4,2024
62,Molecular Cancer,33.9,Q1,"Biochemistry, Genetics and Molecular Biology; Medicine",BMC,United Kingdom,4/319,35.9,5.04,,1476-4598,MOL CANCER,42332,124,218,4.6,4.9,33.3,2024
63,Annual Review of Immunology,33.3,Q1,Immunology and Microbiology; Medicine,ANNUAL REVIEWS,United States,2/183,37.7,3.64,0732-0582,1545-3278,ANNU REV IMMUNOL,19882,0,25,11.5,7.7,33.2,2024
16781,JOURNAL OF DENTISTRY FOR CHILDREN,0.5,Q4,Dentistry,AMER ACAD PEDIATRIC DENTISTRY,United States,139/162,0.6,0.23,1551-8949,1935-5068,J DENT CHILD,780,24,24,21.9,8.1,0.5,2024
65,iMeta,33.2,Q1,"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology",WILEY,United States,2/163,33.2,5.37,2770-5986,2770-596X,IMETA,3418,50,56,2.1,5.6,32.0,2024
66,Nature Reviews Neurology,33.1,Q1,Medicine; Neuroscience,NATURE PORTFOLIO,United Kingdom,2/285,43.4,5.7,1759-4758,1759-4766,NAT REV NEUROL,22117,3,48,6.2,5.5,32.8,2024
67,JOURNAL OF HEPATOLOGY,33.0,Q1,Medicine,ELSEVIER,Netherlands,3/147,28.1,6.33,0168-8278,1600-0641,J HEPATOL,64858,146,159,5.9,5.6,31.7,2024
68,Nature Photonics,32.9,Q1,Materials Science; Physics and Astronomy,NATURE PORTFOLIO,United Kingdom,1/125,38.2,7.47,1749-4885,1749-4893,NAT PHOTONICS,61047,150,158,7.7,6.3,32.3,2024
69,Lancet Respiratory Medicine,32.8,Q1,Medicine,ELSEVIER,United Kingdom,1/108,35.4,8.78,2213-2600,,LANCET RESP MED,22960,58,67,4.5,5.1,32.6,2024
70,Nature Reviews Rheumatology,32.7,Q1,Medicine,NATURE PORTFOLIO,United Kingdom,1/58,35.7,5.44,1759-4790,1759-4804,NAT REV RHEUMATOL,17758,10,55,6.1,5.9,32.2,2024
71,Annual Review of Astronomy and Astrophysics,32.5,Q1,Earth and Planetary Sciences; Physics and Astronomy,ANNUAL REVIEWS,United States,1/84,41.2,3.72,0066-4146,1545-4282,ANNU REV ASTRON ASTR,17476,0,15,12.9,9.5,32.0,2024
72,NATURE METHODS,32.1,Q1,"Biochemistry, Genetics and Molecular Biology",NATURE PORTFOLIO,United Kingdom,1/86,51.7,7.32,1548-7091,1548-7105,NAT METHODS,126671,231,238,8.4,5.4,31.1,2024
72,eLight,32.1,Q1,Materials Science; Physics and Astronomy,NATURE PORTFOLIO,Singapore,2/125,32.2,7.17,2097-1710,2662-8643,ELIGHT,1809,18,21,2,6.1,31.8,2024
74,Interdisciplinary Materials,31.6,Q1,Materials Science,WILEY,United States,9/460,31.6,2.72,2767-4401,2767-441X,INTERD MATER,2501,34,65,2.1,4.6,30.7,2024
75,Annual Review of Organizational Psychology and Organizational Behavior,31.1,Q1,"Business, Management and Accounting; Psychology",ANNUAL REVIEWS,United States,1/420,25.1,8.92,2327-0608,2327-0616,ANNU REV ORGAN PSYCH,6408,3,20,6.7,10.8,30.9,2024
76,LANCET INFECTIOUS DISEASES,31.0,Q1,Medicine,ELSEVIER,United Kingdom,1/137,26.9,7.53,1473-3099,1474-4457,LANCET INFECT DIS,39986,120,142,5.3,4.7,30.4,2024
77,Cell Metabolism,30.9,Q1,"Biochemistry, Genetics and Molecular Biology",CELL PRESS,United States,3/191,33.4,5.71,1550-4131,1932-7420,CELL METAB,62544,118,148,7.1,7.6,30.4,2024
78,Energy & Environmental Science,30.8,Q1,Energy; Environmental Science,ROYAL SOC CHEMISTRY,United Kingdom,2/374,35.1,4.49,1754-5692,1754-5706,ENERG ENVIRON SCI,124260,630,708,5.5,3.9,29.6,2024
79,Annual Review of Condensed Matter Physics,30.7,Q1,Materials Science; Physics and Astronomy,ANNUAL REVIEWS,United States,2/79,28.7,1.39,1947-5454,1947-5462,ANNU REV CONDEN MA P,6123,0,15,6.7,10.7,30.7,2024
80,Annual Review of Fluid Mechanics,30.2,Q1,Physics and Astronomy,ANNUAL REVIEWS,United States,1/171,32.6,3.02,0066-4189,1545-4479,ANNU REV FLUID MECH,18806,0,23,15.7,13.9,30.0,2024
81,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,29.5,Q1,Physics and Astronomy,ELSEVIER,Netherlands,3/114,29.3,2.3,0370-1573,1873-6270,PHYS REP,37977,0,54,13.9,9.4,29.3,2024
82,Annual Review of Psychology,29.4,Q1,Psychology,ANNUAL REVIEWS,United States,1/221,34.4,5.37,0066-4308,1545-2085,ANNU REV PSYCHOL,29863,0,24,14.3,8.9,29.2,2024
83,NATURE GENETICS,29.0,Q1,"Biochemistry, Genetics and Molecular Biology",NATURE PORTFOLIO,United Kingdom,2/191,37.4,9,1061-4036,1546-1718,NAT GENET,109385,222,236,9.5,6.5,28.2,2024
1295,PEDIATRICS,6.4,Q1,Medicine,AMER ACAD PEDIATRICS,United States,4/191,7.1,3.15,0031-4005,1098-4275,PEDIATRICS,78239,439,463,10.8,7.4,6.0,2024
85,Nature Cancer,28.5,Q1,"Biochemistry, Genetics and Molecular Biology; Medicine",NATURE PORTFOLIO,United States,11/326,28.6,5.36,,2662-1347,NAT CANCER,10654,143,155,2.9,6.1,28.0,2024
86,ACM COMPUTING SURVEYS,28.0,Q1,Computer Science; Mathematics,ASSOC COMPUTING MACHINERY,United States,1/147,26.3,7.8,0360-0300,1557-7341,ACM COMPUT SURV,34623,253,318,3.6,5.7,27.6,2024
87,NATURE IMMUNOLOGY,27.6,Q1,Immunology and Microbiology; Medicine,NATURE PORTFOLIO,United Kingdom,3/183,29.2,5.37,1529-2908,1529-2916,NAT IMMUNOL,56248,254,271,8.5,6.5,27.2,2024
87,Living Reviews in Solar Physics,27.6,Q1,Earth and Planetary Sciences; Physics and Astronomy,SPRINGER,Switzerland,2/84,26.1,3.12,2367-3648,1614-4961,LIVING REV SOL PHYS,2244,0,1,9.6,15.9,27.1,2024
7872,Hospital Pediatrics,2.1,Q2,Medicine; Nursing,AMER ACAD PEDIATRICS,United States,61/191,,0.88,2154-1663,2154-1671,HOSP PEDIATR,2745,170,178,4.3,7.3,1.6,2024
90,Nature Climate Change,27.1,Q1,Environmental Science; Social Sciences,NATURE PORTFOLIO,United Kingdom,1/191,32.9,5.83,1758-678X,1758-6798,NAT CLIM CHANGE,53557,217,236,6.7,5.6,26.7,2024
90,Nature Sustainability,27.1,Q1,Agricultural and Biological Sciences; Energy; Environmental Science; Social Sciences,NATURE PORTFOLIO,United Kingdom,1/191,32.8,5.2,2398-9629,2398-9629,NAT SUSTAIN,24660,190,210,4.1,5.4,26.8,2024
92,INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,27.0,Q1,"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences",ELSEVIER,United Kingdom,1/166,23.0,6.63,0268-4012,1873-4707,INT J INFORM MANAGE,23587,67,68,4.6,5.6,25.7,2024
92,Wiley Interdisciplinary Reviews-Computational Molecular Science,27.0,Q1,"Biochemistry, Genetics and Molecular Biology; Chemistry; Computer Science; Materials Science; Mathematics",WILEY,United States,1/67,18.4,3.1,1759-0876,1759-0884,WIRES COMPUT MOL SCI,12176,3,30,6.9,7.8,26.9,2024
94,NEW ASTRONOMY REVIEWS,26.8,Q1,Earth and Planetary Sciences; Physics and Astronomy,ELSEVIER,Netherlands,3/84,13.7,3.02,1387-6473,1872-9630,NEW ASTRON REV,1642,9,14,8.9,7.3,26.7,2024
94,MATERIALS SCIENCE & ENGINEERING R-REPORTS,26.8,Q1,Engineering; Materials Science; Physics and Astronomy,ELSEVIER,Netherlands,10/460,36.7,1.98,0927-796X,1879-212X,MAT SCI ENG R,11124,25,101,8.2,4.6,26.4,2024
94,ADVANCED MATERIALS,26.8,Q1,Engineering; Materials Science,WILEY,United States,10/460,28.9,3.79,0935-9648,1521-4095,ADV MATER,459817,2822,3224,4.6,4.6,25.4,2024
97,NATURE REVIEWS NEUROSCIENCE,26.7,Q1,Neuroscience,NATURE PORTFOLIO,United Kingdom,1/314,36.7,4.08,1471-003X,1471-0048,NAT REV NEUROSCI,47681,2,49,12.2,8.7,26.5,2024
98,Nature Biomedical Engineering,26.6,Q1,"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Computer Science; Engineering; Medicine",NATURE PORTFOLIO,United Kingdom,2/124,30.4,5.36,2157-846X,2157-846X,NAT BIOMED ENG,20416,129,133,3.8,6.5,26.3,2024
99,Annual Review of Plant Biology,26.5,Q1,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology",ANNUAL REVIEWS,United States,1/273,30.5,2.75,1543-5008,1545-2123,ANNU REV PLANT BIOL,23852,0,29,14.4,8.3,26.3,2024
99,ASTRONOMY AND ASTROPHYSICS REVIEW,26.5,Q1,Earth and Planetary Sciences; Physics and Astronomy,SPRINGER,Germany,4/84,34.5,3.42,0935-4956,1432-0754,ASTRON ASTROPHYS REV,3310,0,7,8.6,12.8,26.5,2024
101,Immunity,26.3,Q1,Immunology and Microbiology; Medicine,CELL PRESS,United States,4/183,33.2,5.1,1074-7613,1097-4180,IMMUNITY,75218,142,169,8.2,7.4,25.7,2024
102,PROGRESS IN POLYMER SCIENCE,26.1,Q1,Chemistry; Materials Science; Physics and Astronomy,ELSEVIER,United Kingdom,1/94,31.6,2.17,0079-6700,1873-1619,PROG POLYM SCI,29638,0,45,10.2,6.2,25.8,2024
103,Advanced Energy Materials,26.0,Q1,Energy; Materials Science,WILEY,Germany,5/182,26.8,3.51,1614-6832,1614-6840,ADV ENERGY MATER,157278,1061,1204,4.3,4.1,24.9,2024
104,PROCEEDINGS OF THE IEEE,25.9,Q1,Computer Science; Engineering,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,United States,2/366,25.0,6,0018-9219,1558-2256,P IEEE,44868,58,61,13.3,4.8,25.6,2024
104,CELL RESEARCH,25.9,Q1,"Biochemistry, Genetics and Molecular Biology",NATURE PORTFOLIO,United Kingdom,7/204,36.6,3.09,1001-0602,1748-7838,CELL RES,29251,81,84,7.3,7.4,25.7,2024
106,GUT,25.8,Q1,Medicine,BMJ PUBLISHING GROUP,United Kingdom,4/147,25.3,5.51,0017-5749,1468-3288,GUT,62303,151,172,7.2,5.6,25.0,2024
107,Innovation,25.7,Q1,Multidisciplinary,CELL PRESS,United States,4/135,40.2,5.02,2666-6758,2666-6758,INNOVATION-AMSTERDAM,9272,50,58,3.2,4.7,24.6,2024
108,Foundations and Trends in Machine Learning,25.4,Q1,Computer Science,NOW PUBLISHERS INC,United States,1/204,89.0,11.13,1935-8237,1935-8245,FOUND TRENDS MACH LE,4667,6,6,6.7,7.8,25.2,2024
109,EUROPEAN UROLOGY,25.2,Q1,Medicine,ELSEVIER,Netherlands,3/133,22.0,7.04,0302-2838,1873-7560,EUR UROL,36969,79,93,7.4,5.1,24.6,2024
109,Lancet Public Health,25.2,Q1,Medicine,ELSEVIER,United Kingdom,3/419,29.8,6.6,2468-2667,2468-2667,LANCET PUBLIC HEALTH,13242,81,89,3.9,5.1,24.9,2024
111,Gastroenterology,25.1,Q1,Medicine,ELSEVIER,United States,5/147,26.9,5.48,0016-5085,1528-0012,GASTROENTEROLOGY,89848,140,152,8.6,6.3,24.5,2024
112,Advanced Powder Materials,24.9,Q1,Chemical Engineering; Energy; Materials Science,KEAI PUBLISHING LTD,China,13/460,24.9,5.59,,2772-834X,ADV POWDER MATER,2722,56,56,1.7,3.9,24.0,2024
112,Cancer Communications,24.9,Q1,"Biochemistry, Genetics and Molecular Biology; Medicine",WILEY,United Kingdom,12/326,22.2,3.67,,2523-3548,CANCER COMMUN,6881,30,49,3.4,5.8,24.6,2024
114,Lancet Psychiatry,24.8,Q1,Medicine; Neuroscience,ELSEVIER,United Kingdom,2/288,33.0,7.2,2215-0374,,LANCET PSYCHIAT,20482,61,74,5.1,5.6,24.2,2024
114,FUNGAL DIVERSITY,24.8,Q1,Agricultural and Biological Sciences; Environmental Science,SPRINGER,Netherlands,1/32,28.3,6.54,1560-2745,1878-9129,FUNGAL DIVERS,7387,16,17,8,11.3,22.1,2024
116,Carbon Energy,24.2,Q1,Energy; Materials Science,WILEY,United States,14/460,23.0,2.55,,2637-9368,CARBON ENERGY,8843,134,180,2.4,4.7,22.7,2024
117,Lancet Digital Health,24.1,Q1,Decision Sciences; Health Professions; Medicine,ELSEVIER,United Kingdom,1/48,27.6,4.49,,2589-7500,LANCET DIGIT HEALTH,8495,71,77,3.1,4,23.8,2024
117,Molecular Plant,24.1,Q1,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology",CELL PRESS,United States,2/273,25.8,4.37,1674-2052,1752-9867,MOL PLANT,27566,83,94,5.7,7.8,23.5,2024
117,Nature Water,24.1,Q1,Environmental Science,NATURE PORTFOLIO,Netherlands,1/131,24.1,4.19,,2731-6084,NAT WATER,2619,99,111,1.4,5.7,23.4,2024
120,Nature Machine Intelligence,23.9,Q1,Computer Science,NATURE PORTFOLIO,Switzerland,1/175,31.8,3.92,,2522-5839,NAT MACH INTELL,15338,141,152,3.5,4.6,23.4,2024
